attribute,year,level
Acousticness,1920,0.609565888
Acousticness,1921,0.854133793
Acousticness,1922,0.826142857
Acousticness,1923,0.956122955
Acousticness,1924,0.937941133
Acousticness,1925,0.96003104
Acousticness,1926,0.628015346
Acousticness,1927,0.914239155
Acousticness,1928,0.925172868
Acousticness,1929,0.595568494
Acousticness,1930,0.937768982
Acousticness,1931,0.835398294
Acousticness,1932,0.767681611
Acousticness,1933,0.897073079
Acousticness,1934,0.886326356
Acousticness,1935,0.772854381
Acousticness,1936,0.583092375
Acousticness,1937,0.85874559
Acousticness,1938,0.921727944
Acousticness,1939,0.906245608
Acousticness,1940,0.839250639
Acousticness,1941,0.887602223
Acousticness,1942,0.854157033
Acousticness,1943,0.901327247
Acousticness,1944,0.907708943
Acousticness,1945,0.681404439
Acousticness,1946,0.917416882
Acousticness,1947,0.916203781
Acousticness,1948,0.922082445
Acousticness,1949,0.908505903
Acousticness,1950,0.821037653
Acousticness,1951,0.897773176
Acousticness,1952,0.871760151
Acousticness,1953,0.889402211
Acousticness,1954,0.867698732
Acousticness,1955,0.852884404
Acousticness,1956,0.820537745
Acousticness,1957,0.792398805
Acousticness,1958,0.775913742
Acousticness,1959,0.781782898
Acousticness,1960,0.769378109
Acousticness,1961,0.755289017
Acousticness,1962,0.725441008
Acousticness,1963,0.714185136
Acousticness,1964,0.695318055
Acousticness,1965,0.615785755
Acousticness,1966,0.533900132
Acousticness,1967,0.542281091
Acousticness,1968,0.495990925
Acousticness,1969,0.450956538
Acousticness,1970,0.464180976
Acousticness,1971,0.465056582
Acousticness,1972,0.462659282
Acousticness,1973,0.423804263
Acousticness,1974,0.449870289
Acousticness,1975,0.429695835
Acousticness,1976,0.374442434
Acousticness,1977,0.344637097
Acousticness,1978,0.343305625
Acousticness,1979,0.301301616
Acousticness,1980,0.29313176
Acousticness,1981,0.306044009
Acousticness,1982,0.304035682
Acousticness,1983,0.317073341
Acousticness,1984,0.294365554
Acousticness,1985,0.301943755
Acousticness,1986,0.290741813
Acousticness,1987,0.336657153
Acousticness,1988,0.335898415
Acousticness,1989,0.31804713
Acousticness,1990,0.342407304
Acousticness,1991,0.349779324
Acousticness,1992,0.3280564
Acousticness,1993,0.320051134
Acousticness,1994,0.324285513
Acousticness,1995,0.318784091
Acousticness,1996,0.310361087
Acousticness,1997,0.310518537
Acousticness,1998,0.30337987
Acousticness,1999,0.288871986
Acousticness,2000,0.303053265
Acousticness,2001,0.266064513
Acousticness,2002,0.300623463
Acousticness,2003,0.284075972
Acousticness,2004,0.250080495
Acousticness,2005,0.252880001
Acousticness,2006,0.286861555
Acousticness,2007,0.214858067
Acousticness,2008,0.280382497
Acousticness,2009,0.258099613
Acousticness,2010,0.211396606
Acousticness,2011,0.232940827
Acousticness,2012,0.218128093
Acousticness,2013,0.198487746
Acousticness,2014,0.230568611
Acousticness,2015,0.285252024
Acousticness,2016,0.232287052
Acousticness,2017,0.201981913
Acousticness,2018,0.230666859
Acousticness,2019,0.266460793
Acousticness,2020,0.204907824
Danceability,1920,0.528261059
Danceability,1921,0.446471034
Danceability,1922,0.579193277
Danceability,1923,0.573095238
Danceability,1924,0.557674312
Danceability,1925,0.569128
Danceability,1926,0.612755068
Danceability,1927,0.66118608
Danceability,1928,0.580172449
Danceability,1929,0.648766774
Danceability,1930,0.520760567
Danceability,1931,0.598672921
Danceability,1932,0.606030067
Danceability,1933,0.560290354
Danceability,1934,0.529352941
Danceability,1935,0.558016245
Danceability,1936,0.624657135
Danceability,1937,0.528147016
Danceability,1938,0.474836788
Danceability,1939,0.512015385
Danceability,1940,0.527298556
Danceability,1941,0.482378677
Danceability,1942,0.47230846
Danceability,1943,0.456190988
Danceability,1944,0.507202168
Danceability,1945,0.539419285
Danceability,1946,0.422271184
Danceability,1947,0.476175209
Danceability,1948,0.477440035
Danceability,1949,0.452590078
Danceability,1950,0.53237192
Danceability,1951,0.465734421
Danceability,1952,0.461632846
Danceability,1953,0.443763725
Danceability,1954,0.462280693
Danceability,1955,0.486954266
Danceability,1956,0.491926214
Danceability,1957,0.502506138
Danceability,1958,0.478193259
Danceability,1959,0.483278101
Danceability,1960,0.481981439
Danceability,1961,0.490943663
Danceability,1962,0.493557816
Danceability,1963,0.48663481
Danceability,1964,0.503185629
Danceability,1965,0.501620075
Danceability,1966,0.50564011
Danceability,1967,0.492224641
Danceability,1968,0.495493291
Danceability,1969,0.484768167
Danceability,1970,0.504723893
Danceability,1971,0.503143084
Danceability,1972,0.519212719
Danceability,1973,0.515034471
Danceability,1974,0.518652831
Danceability,1975,0.519793067
Danceability,1976,0.528458519
Danceability,1977,0.528647691
Danceability,1978,0.537010866
Danceability,1979,0.560468261
Danceability,1980,0.553563024
Danceability,1981,0.54084768
Danceability,1982,0.556136579
Danceability,1983,0.54140625
Danceability,1984,0.528674229
Danceability,1985,0.552841871
Danceability,1986,0.53984568
Danceability,1987,0.534285447
Danceability,1988,0.53949868
Danceability,1989,0.542839654
Danceability,1990,0.531047454
Danceability,1991,0.553504427
Danceability,1992,0.552771782
Danceability,1993,0.570399575
Danceability,1994,0.547499397
Danceability,1995,0.557684981
Danceability,1996,0.585193372
Danceability,1997,0.574667354
Danceability,1998,0.578409589
Danceability,1999,0.58174744
Danceability,2000,0.594226965
Danceability,2001,0.591122284
Danceability,2002,0.565795394
Danceability,2003,0.572379181
Danceability,2004,0.572835979
Danceability,2005,0.554042545
Danceability,2006,0.544271383
Danceability,2007,0.554264529
Danceability,2008,0.559282034
Danceability,2009,0.563066344
Danceability,2010,0.597194158
Danceability,2011,0.578119036
Danceability,2012,0.558901472
Danceability,2013,0.588330137
Danceability,2014,0.590842978
Danceability,2015,0.565656975
Danceability,2016,0.585352823
Danceability,2017,0.582811525
Danceability,2018,0.602959087
Danceability,2019,0.606618937
Danceability,2020,0.599050232
Duration (Secs),1920,240.6979097
Duration (Secs),1921,246.7875517
Duration (Secs),1922,139.8606639
Duration (Secs),1923,176.9251786
Duration (Secs),1924,192.9500734
Duration (Secs),1925,185.79124
Duration (Secs),1926,150.2093623
Duration (Secs),1927,174.6458821
Duration (Secs),1928,191.8787857
Duration (Secs),1929,168.3906432
Duration (Secs),1930,194.3806453
Duration (Secs),1931,168.4323092
Duration (Secs),1932,174.711204
Duration (Secs),1933,197.9802412
Duration (Secs),1934,190.2031324
Duration (Secs),1935,218.0038202
Duration (Secs),1936,172.0717125
Duration (Secs),1937,230.0775262
Duration (Secs),1938,255.6727185
Duration (Secs),1939,223.1126444
Duration (Secs),1940,180.9060833
Duration (Secs),1941,203.2092851
Duration (Secs),1942,216.9701685
Duration (Secs),1943,235.0919826
Duration (Secs),1944,242.2277249
Duration (Secs),1945,181.7825666
Duration (Secs),1946,259.2967816
Duration (Secs),1947,224.0094014
Duration (Secs),1948,198.592584
Duration (Secs),1949,223.5100775
Duration (Secs),1950,207.638936
Duration (Secs),1951,209.5653007
Duration (Secs),1952,225.1065707
Duration (Secs),1953,213.4659491
Duration (Secs),1954,223.81428
Duration (Secs),1955,216.3891857
Duration (Secs),1956,211.3852373
Duration (Secs),1957,236.1425399
Duration (Secs),1958,212.5074735
Duration (Secs),1959,207.9898853
Duration (Secs),1960,208.6882955
Duration (Secs),1961,228.5063185
Duration (Secs),1962,205.5188956
Duration (Secs),1963,201.2129343
Duration (Secs),1964,192.179878
Duration (Secs),1965,196.1573186
Duration (Secs),1966,208.0925955
Duration (Secs),1967,198.0476994
Duration (Secs),1968,216.0519838
Duration (Secs),1969,240.1640746
Duration (Secs),1970,241.4821192
Duration (Secs),1971,257.0951892
Duration (Secs),1972,244.4733344
Duration (Secs),1973,258.9492475
Duration (Secs),1974,250.7736667
Duration (Secs),1975,255.8995504
Duration (Secs),1976,268.641162
Duration (Secs),1977,258.5531274
Duration (Secs),1978,248.4961113
Duration (Secs),1979,249.7092832
Duration (Secs),1980,250.6999915
Duration (Secs),1981,249.2883653
Duration (Secs),1982,246.9999914
Duration (Secs),1983,248.5483283
Duration (Secs),1984,252.6172979
Duration (Secs),1985,252.5629635
Duration (Secs),1986,253.4024087
Duration (Secs),1987,247.0960943
Duration (Secs),1988,253.2871452
Duration (Secs),1989,251.959403
Duration (Secs),1990,255.9433548
Duration (Secs),1991,239.2173375
Duration (Secs),1992,245.5579241
Duration (Secs),1993,248.1475632
Duration (Secs),1994,251.0549616
Duration (Secs),1995,246.2773699
Duration (Secs),1996,252.3640074
Duration (Secs),1997,246.961537
Duration (Secs),1998,249.5897313
Duration (Secs),1999,243.3342717
Duration (Secs),2000,245.034457
Duration (Secs),2001,241.2691175
Duration (Secs),2002,243.0662555
Duration (Secs),2003,245.1970366
Duration (Secs),2004,228.3955732
Duration (Secs),2005,227.942846
Duration (Secs),2006,228.709779
Duration (Secs),2007,242.7757727
Duration (Secs),2008,230.6690434
Duration (Secs),2009,245.7080359
Duration (Secs),2010,261.5003236
Duration (Secs),2011,280.8136271
Duration (Secs),2012,254.2241059
Duration (Secs),2013,278.6902475
Duration (Secs),2014,261.4804368
Duration (Secs),2015,260.4204351
Duration (Secs),2016,255.3120435
Duration (Secs),2017,241.2929215
Duration (Secs),2018,224.3698756
Duration (Secs),2019,222.6556536
Duration (Secs),2020,218.7491573
Energy,1920,0.418316667
Energy,1921,0.252670828
Energy,1922,0.228542773
Energy,1923,0.265429762
Energy,1924,0.353079358
Energy,1925,0.2867676
Energy,1926,0.213429485
Energy,1927,0.258733097
Energy,1928,0.226950827
Energy,1929,0.241780235
Energy,1930,0.332123773
Energy,1931,0.234048383
Energy,1932,0.277371275
Energy,1933,0.28276045
Energy,1934,0.266808824
Energy,1935,0.248281605
Energy,1936,0.263493733
Energy,1937,0.32348613
Energy,1938,0.284133333
Energy,1939,0.291330992
Energy,1940,0.309169789
Energy,1941,0.271665314
Energy,1942,0.256852505
Energy,1943,0.281196555
Energy,1944,0.252949553
Energy,1945,0.230446461
Energy,1946,0.228346664
Energy,1947,0.265060617
Energy,1948,0.249574956
Energy,1949,0.249632681
Energy,1950,0.301418244
Energy,1951,0.261365699
Energy,1952,0.258956542
Energy,1953,0.269048035
Energy,1954,0.264121903
Energy,1955,0.284060092
Energy,1956,0.302193786
Energy,1957,0.296843797
Energy,1958,0.310092919
Energy,1959,0.317461043
Energy,1960,0.337630249
Energy,1961,0.340650638
Energy,1962,0.369195348
Energy,1963,0.378254842
Energy,1964,0.401598465
Energy,1965,0.44321275
Energy,1966,0.476615672
Energy,1967,0.444405077
Energy,1968,0.453003637
Energy,1969,0.489352009
Energy,1970,0.490548332
Energy,1971,0.485469333
Energy,1972,0.498801349
Energy,1973,0.533815616
Energy,1974,0.516388734
Energy,1975,0.527344208
Energy,1976,0.546691759
Energy,1977,0.552738503
Energy,1978,0.551316514
Energy,1979,0.584446168
Energy,1980,0.596513263
Energy,1981,0.596526355
Energy,1982,0.579731672
Energy,1983,0.585081304
Energy,1984,0.584654862
Energy,1985,0.603026663
Energy,1986,0.609611231
Energy,1987,0.562904394
Energy,1988,0.576294719
Energy,1989,0.57480114
Energy,1990,0.563175358
Energy,1991,0.549561068
Energy,1992,0.576431626
Energy,1993,0.54918301
Energy,1994,0.56158175
Energy,1995,0.56710582
Energy,1996,0.579459385
Energy,1997,0.597324725
Energy,1998,0.598557898
Energy,1999,0.626283337
Energy,2000,0.61782508
Energy,2001,0.64549439
Energy,2002,0.62808142
Energy,2003,0.648150287
Energy,2004,0.671055979
Energy,2005,0.6636416
Energy,2006,0.650769865
Energy,2007,0.693836453
Energy,2008,0.673630536
Energy,2009,0.690462343
Energy,2010,0.659419164
Energy,2011,0.661519881
Energy,2012,0.685797775
Energy,2013,0.6852279
Energy,2014,0.660376036
Energy,2015,0.600602271
Energy,2016,0.653939754
Energy,2017,0.689393739
Energy,2018,0.660207512
Energy,2019,0.628814169
Energy,2020,0.673893856
Explicit,1920,0.133956386
Explicit,1921,0.075862069
Explicit,1922,0
Explicit,1923,0
Explicit,1924,0
Explicit,1925,0
Explicit,1926,0.1875
Explicit,1927,0.017045455
Explicit,1928,0
Explicit,1929,0.459401709
Explicit,1930,0.004532578
Explicit,1931,0.323027719
Explicit,1932,0
Explicit,1933,0.004823151
Explicit,1934,0.001838235
Explicit,1935,0.184420772
Explicit,1936,0
Explicit,1937,0.012658228
Explicit,1938,0
Explicit,1939,0.001114827
Explicit,1940,0.204886174
Explicit,1941,0.011402509
Explicit,1942,0
Explicit,1943,0
Explicit,1944,0.001355014
Explicit,1945,0.292115712
Explicit,1946,0.001315789
Explicit,1947,0
Explicit,1948,0.097914253
Explicit,1949,0
Explicit,1950,0.045478583
Explicit,1951,0.002718869
Explicit,1952,0.027642276
Explicit,1953,0.005955604
Explicit,1954,0
Explicit,1955,0.001079914
Explicit,1956,0
Explicit,1957,0
Explicit,1958,0
Explicit,1959,0
Explicit,1960,0
Explicit,1961,0
Explicit,1962,0
Explicit,1963,0
Explicit,1964,0.001626898
Explicit,1965,0.001614639
Explicit,1966,0
Explicit,1967,0.000552486
Explicit,1968,0
Explicit,1969,0.002744237
Explicit,1970,0.000546747
Explicit,1971,0.000546747
Explicit,1972,0.002192982
Explicit,1973,0.001156738
Explicit,1974,0.001068376
Explicit,1975,0.005866667
Explicit,1976,0.001113586
Explicit,1977,0.004451864
Explicit,1978,0.00839895
Explicit,1979,0.009782609
Explicit,1980,0.007427056
Explicit,1981,0.013866667
Explicit,1982,0.025820334
Explicit,1983,0.01576087
Explicit,1984,0.015969163
Explicit,1985,0.022818026
Explicit,1986,0.016738661
Explicit,1987,0.024807056
Explicit,1988,0.054455446
Explicit,1989,0.041058887
Explicit,1990,0.043336945
Explicit,1991,0.055729167
Explicit,1992,0.088314486
Explicit,1993,0.085987261
Explicit,1994,0.1278113
Explicit,1995,0.14323891
Explicit,1996,0.158337717
Explicit,1997,0.128571429
Explicit,1998,0.158061117
Explicit,1999,0.163009404
Explicit,2000,0.165447898
Explicit,2001,0.186252772
Explicit,2002,0.11408677
Explicit,2003,0.143728223
Explicit,2004,0.18556701
Explicit,2005,0.140194489
Explicit,2006,0.096979332
Explicit,2007,0.113636364
Explicit,2008,0.087457627
Explicit,2009,0.108500346
Explicit,2010,0.105383734
Explicit,2011,0.131325301
Explicit,2012,0.134767837
Explicit,2013,0.140963323
Explicit,2014,0.153386454
Explicit,2015,0.163974547
Explicit,2016,0.19138756
Explicit,2017,0.235530951
Explicit,2018,0.255654281
Explicit,2019,0.254589372
Explicit,2020,0.185979143
Instrumentalness,1920,0.352185583
Instrumentalness,1921,0.298935813
Instrumentalness,1922,0.245191897
Instrumentalness,1923,0.366213656
Instrumentalness,1924,0.585090865
Instrumentalness,1925,0.414543386
Instrumentalness,1926,0.286779877
Instrumentalness,1927,0.327905043
Instrumentalness,1928,0.395866776
Instrumentalness,1929,0.213259899
Instrumentalness,1930,0.346423789
Instrumentalness,1931,0.214724458
Instrumentalness,1932,0.159192985
Instrumentalness,1933,0.198239766
Instrumentalness,1934,0.281426091
Instrumentalness,1935,0.216291152
Instrumentalness,1936,0.113517747
Instrumentalness,1937,0.353330824
Instrumentalness,1938,0.397276827
Instrumentalness,1939,0.288157146
Instrumentalness,1940,0.321607412
Instrumentalness,1941,0.406254858
Instrumentalness,1942,0.395150597
Instrumentalness,1943,0.406406747
Instrumentalness,1944,0.450772354
Instrumentalness,1945,0.232803891
Instrumentalness,1946,0.471039868
Instrumentalness,1947,0.340432568
Instrumentalness,1948,0.344460208
Instrumentalness,1949,0.303501615
Instrumentalness,1950,0.209807418
Instrumentalness,1951,0.282493159
Instrumentalness,1952,0.263674013
Instrumentalness,1953,0.301101115
Instrumentalness,1954,0.279813094
Instrumentalness,1955,0.22462474
Instrumentalness,1956,0.223187337
Instrumentalness,1957,0.203093413
Instrumentalness,1958,0.192052805
Instrumentalness,1959,0.178046635
Instrumentalness,1960,0.180130425
Instrumentalness,1961,0.257951598
Instrumentalness,1962,0.164573702
Instrumentalness,1963,0.197955954
Instrumentalness,1964,0.167180406
Instrumentalness,1965,0.122987072
Instrumentalness,1966,0.12038898
Instrumentalness,1967,0.124469089
Instrumentalness,1968,0.129954229
Instrumentalness,1969,0.165379799
Instrumentalness,1970,0.133600201
Instrumentalness,1971,0.126059958
Instrumentalness,1972,0.118921528
Instrumentalness,1973,0.108952288
Instrumentalness,1974,0.119486735
Instrumentalness,1975,0.116689616
Instrumentalness,1976,0.12863904
Instrumentalness,1977,0.131405451
Instrumentalness,1978,0.105521115
Instrumentalness,1979,0.116672751
Instrumentalness,1980,0.127117536
Instrumentalness,1981,0.145944215
Instrumentalness,1982,0.105704007
Instrumentalness,1983,0.147671415
Instrumentalness,1984,0.15102303
Instrumentalness,1985,0.122301015
Instrumentalness,1986,0.116153959
Instrumentalness,1987,0.110583873
Instrumentalness,1988,0.128466534
Instrumentalness,1989,0.119645644
Instrumentalness,1990,0.135539405
Instrumentalness,1991,0.144831697
Instrumentalness,1992,0.112569007
Instrumentalness,1993,0.113185979
Instrumentalness,1994,0.120372671
